# mesh name: boxMesh_1
# primitive scorer name: dDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
3,27,0,0,0,0
3,28,0,0,0,0
3,29,0,0,0,0
3,30,0,0,0,0
3,31,0,0,0,0
3,32,0,0,0,0
3,33,0,0,0,0
3,34,0,0,0,0
3,35,0,0,0,0
3,36,0,0,0,0
3,37,0,0,0,0
3,38,0,0,0,0
3,39,0,0,0,0
3,40,0,0,0,0
3,41,0,0,0,0
3,42,0,0,0,0
3,43,0,0,0,0
3,44,0,0,0,0
3,45,0,0,0,0
3,46,0,0,0,0
3,47,0,0,0,0
3,48,0,0,0,0
3,49,0,0,0,0
3,50,0,0,0,0
4,0,0,0,0,0
4,1,0,0,0,0
4,2,0,0,0,0
4,3,0,0,0,0
4,4,0,0,0,0
4,5,0,0,0,0
4,6,0,0,0,0
4,7,0,0,0,0
4,8,0,0,0,0
4,9,0,0,0,0
4,10,0,0,0,0
4,11,0,0,0,0
4,12,0,0,0,0
4,13,0,0,0,0
4,14,0,0,0,0
4,15,0,0,0,0
4,16,0,0,0,0
4,17,0,0,0,0
4,18,0,0,0,0
4,19,0,0,0,0
4,20,0,0,0,0
4,21,0,0,0,0
4,22,0,0,0,0
4,23,0,1.183532473108332e-10,1.1605352354604e-20,2
4,24,0,0,0,0
4,25,0,0,0,0
4,26,0,0,0,0
4,27,0,0,0,0
4,28,0,0,0,0
4,29,0,0,0,0
4,30,0,0,0,0
4,31,0,0,0,0
4,32,0,0,0,0
4,33,0,0,0,0
4,34,0,0,0,0
4,35,0,0,0,0
4,36,0,0,0,0
4,37,0,0,0,0
4,38,0,0,0,0
4,39,0,0,0,0
4,40,0,0,0,0
4,41,0,0,0,0
4,42,0,0,0,0
4,43,0,0,0,0
4,44,0,0,0,0
4,45,0,0,0,0
4,46,0,0,0,0
4,47,0,0,0,0
4,48,0,0,0,0
4,49,0,0,0,0
4,50,0,0,0,0
5,0,0,0,0,0
5,1,0,0,0,0
5,2,0,0,0,0
5,3,0,0,0,0
5,4,0,0,0,0
5,5,0,0,0,0
5,6,0,0,0,0
5,7,0,0,0,0
5,8,0,0,0,0
5,9,0,0,0,0
5,10,0,0,0,0
5,11,0,1.120993323334146e-11,1.256626030959733e-22,1
5,12,0,0,0,0
5,13,0,0,0,0
5,14,0,0,0,0
5,15,0,0,0,0
5,16,0,0,0,0
5,17,0,0,0,0
5,18,0,0,0,0
5,19,0,4.136233355204145e-11,1.710842636870333e-21,1
5,20,0,1.935247348567383e-09,3.745182300137088e-18,1
5,21,0,0,0,0
5,22,0,0,0,0
5,23,0,0,0,0
5,24,0,0,0,0
5,25,0,0,0,0
5,26,0,0,0,0
5,27,0,0,0,0
5,28,0,0,0,0
5,29,0,0,0,0
5,30,0,0,0,0
5,31,0,2.717361744653539e-06,7.384054851306525e-12,1
5,32,0,0,0,0
5,33,0,0,0,0
5,34,0,0,0,0
5,35,0,0,0,0
5,36,0,0,0,0
5,37,0,0,0,0
5,38,0,0,0,0
5,39,0,0,0,0
5,40,0,3.330152312436696e-10,1.108991442402747e-19,1
5,41,0,0,0,0
5,42,0,0,0,0
5,43,0,0,0,0
5,44,0,0,0,0
5,45,0,0,0,0
5,46,0,0,0,0
5,47,0,0,0,0
5,48,0,0,0,0
5,49,0,0,0,0
5,50,0,0,0,0
6,0,0,3.362979970002438e-11,3.769878092879199e-22,3
6,1,0,0,0,0
6,2,0,0,0,0
6,3,0,0,0,0
6,4,0,0,0,0
6,5,0,0,0,0
6,6,0,0,0,0
6,7,0,0,0,0
6,8,0,0,0,0
6,9,0,0,0,0
6,10,0,0,0,0
6,11,0,7.138130574490696e-10,5.095290809847888e-19,1
6,12,0,0,0,0
