name,ekin_MeV,posX_mm,posY_mm,posZ_mm,momX,momY,momZ,process
e-,0.384277,-2.83309,-0.182519,-36.3571,-0.978389,-0.0962125,-0.183024,eIoni
e-,0.00164588,-0.00412182,-0.0135349,-92.1197,0.995341,-0.0254982,0.0929844,eIoni
e-,0.0120513,-0.0197341,0.0032619,-86.2623,-0.990844,0.00438407,0.134937,eIoni
gamma,0.00524075,1.12442,-0.317676,-46.1081,0.19717,-0.160514,0.96714,eBrem
e-,0.00470275,1.23595,-0.408472,-45.561,-0.530541,0.195384,0.824834,phot
e-,0.00146735,-1.09186,-0.140871,-86.8307,-0.506856,0.751139,0.42295,eIoni
e-,0.422947,-5.80011,-3.42143,-26.905,0.464415,-0.128319,0.876272,eIoni
e-,0.00390392,0.00347294,-0.0424746,-50.0432,-0.374705,0.926849,0.0233937,eIoni
e-,0.382361,0.194666,-0.67747,-40.1646,0.607291,0.477557,0.63493,eIoni
e-,1.35249,1.11548,2.19607,-32.5372,-0.167738,0.33903,0.925701,eIoni
gamma,0.011202,1.06182,0.148058,-29.9218,0.0559655,-0.756923,-0.651103,eBrem
e-,0.010664,1.10937,-0.495043,-30.475,0.83432,0.250641,-0.491009,phot
e-,0.00171167,-0.00694434,0.213771,-66.9885,-0.93837,-0.342299,0.0478806,eIoni
gamma,0.00662635,8.47062,1.96696,-32.0965,0.710162,-0.137115,0.690558,eBrem
e-,0.00608835,8.93859,1.8766,-31.6415,-0.209757,-0.550773,0.807868,phot
gamma,0.166678,0.106843,0.0270745,-48.4455,0.0915922,0.141043,0.985757,eBrem
gamma,0.0885337,-1.42724,-0.80861,-39.2528,-0.144981,-0.306839,0.940654,eBrem
gamma,0.0106873,-3.77757,-1.74066,-31.4646,-0.282606,-0.11358,0.952488,eBrem
e-,0.0101493,-4.07493,-1.86017,-30.4624,-0.838381,-0.20298,0.505883,phot
e-,0.0038464,-3.121,-4.39329,-28.2635,-0.957211,-0.00947767,0.289235,compt
e-,0.00486922,7.3157,-10.0828,-13.7336,-0.441609,-0.094873,0.892177,compt
e-,0.0114731,2.08217,3.0689,-27.1861,-0.678201,-0.461429,0.57195,compt
gamma,0.032629,-6.01877,-11.1134,-25.6616,-0.532384,-0.294851,0.793493,eBrem
e-,0.00169618,-29.3435,-24.0314,9.10281,0.12205,-0.32954,0.93622,compt
e-,0.00140718,0.0110732,-0.0205994,-64.6494,0.991751,0.0762719,-0.103019,eIoni
e-,0.441635,-0.662463,0.173464,-45.7466,0.412883,0.266488,0.870926,eIoni
e-,0.00155378,0.00781543,-0.0134009,-89.4285,0.831257,0.547081,0.0985554,eIoni
e-,2.73105,0.14648,-0.341069,-49.5302,0.380793,-0.0334429,0.924055,eIoni
e-,0.908582,0.0232841,1.15846,-44.6414,-0.475548,0.75436,0.452543,eIoni
gamma,0.00987433,-0.786218,4.25549,-41.768,-0.0720222,-0.530757,0.844458,eBrem
e-,0.00933633,-0.888049,3.50506,-40.574,-0.173389,-0.9678,0.18248,phot
gamma,0.020743,3.35961,-0.159908,-45.9995,0.956013,-0.261786,0.132314,eBrem
e-,0.00150407,0.179397,0.418449,-61.0072,0.863005,-0.505186,-0.00304106,eIoni
