name, ekin_MeV, posX_mm, posY_mm, posZ_mm,momX, momY, momZ, process
e-,0.00121918,-33.4045,-18.0602,-22.0979,-0.333365,0.0366513,-0.942085,compt
e-,0.0223291,-29.2134,-21.7061,-2.71474,0.166167,-0.980478,0.105129,phot
gamma,0.0448786,-2.29065,-0.229794,-42.7789,-0.0272125,0.0016002,0.0356512,eBrem
gamma,0.0448786,-2.29065,-0.229794,-42.7789,-0.606358,0.0356563,0.794392,eBrem
e-,0.000345339,-3.92423,-0.133733,-40.6387,-0.00628022,-0.0175487,-0.00237888,compt
e-,3.52487e-05,-28.4896,23.6905,2.61523,-0.00559874,-0.00153771,-0.00152147,compt
e-,0.000345339,-3.92423,-0.133733,-40.6387,-0.334236,-0.933947,-0.126605,compt
e-,3.52487e-05,-28.4896,23.6905,2.61523,-0.932795,-0.256195,-0.253489,compt
gamma,0.00460023,0.0641869,0.163009,-48.5716,0.000913685,0.00227705,0.00389132,eBrem
e-,1.50762,0.165398,0.753838,-46.9557,1.00582,0.187914,1.66334,eIoni
gamma,0.00460023,0.0641869,0.163009,-48.5716,0.198617,0.494986,0.845896,eBrem
e-,1.50762,0.165398,0.753838,-46.9557,0.515051,0.0962245,0.851742,eIoni
e-,0.38229,1.19333,1.12819,-44.7784,0.654752,-0.137398,0.298777,eIoni
e-,0.38229,1.19333,1.12819,-44.7784,0.893618,-0.187523,0.407777,eIoni
e-,0.00406223,0.0751298,0.190281,-48.525,-0.0366801,0.0530744,0.00240348,phot
e-,0.00406223,0.0751298,0.190281,-48.525,-0.568148,0.822084,0.0372282,phot
e-,0.00213797,0.0451231,-0.0467048,-55.1486,-0.0115915,-0.0452434,0.00287239,eIoni
e-,1.14559,-0.00575645,0.0677954,-48.9864,-1.16463,0.276472,1.02487,eIoni
e-,0.640216,8.17756,5.71873,-32.6166,0.751448,0.651285,-0.274461,eIoni
e-,0.00213797,0.0451231,-0.0467048,-55.1486,-0.24772,-0.966885,0.0613851,eIoni
e-,1.14559,-0.00575645,0.0677954,-48.9864,-0.73907,0.175448,0.65038,eIoni
e-,0.640216,8.17756,5.71873,-32.6166,0.728438,0.631342,-0.266057,eIoni
e-,0.406283,1.02192,-1.61685,-42.2708,-0.10074,0.303762,0.691279,eIoni
e-,0.406283,1.02192,-1.61685,-42.2708,-0.132245,0.398761,0.90747,eIoni
e-,0.00328414,0.206632,-0.383249,-57.7481,-0.0578843,0.00202409,0.00353323,eIoni
e-,0.378135,7.91868,-3.7539,-36.7756,0.520803,-0.508005,0.0115888,eIoni
e-,0.00328414,0.206632,-0.383249,-57.7481,-0.997535,0.0348817,0.0608891,eIoni
e-,0.378135,7.91868,-3.7539,-36.7756,0.715757,-0.698168,0.0159268,eIoni
e-,0.00321904,0,0,-99.3638,-0.0565856,-0.0087276,0.00470178,eIoni
e-,0.00129502,0.0159649,0.000367429,-97.4228,-0.0152206,-0.0330669,-0.000312496,eIoni
e-,0.423179,0.597716,0.160781,-43.2853,-0.559098,-0.428273,0.339941,eIoni
e-,0.00321904,0,0,-99.3638,-0.984998,-0.151923,0.0818449,eIoni
e-,0.00129502,0.0159649,0.000367429,-97.4228,-0.418114,-0.908354,-0.00858434,eIoni
e-,0.423179,0.597716,0.160781,-43.2853,-0.714933,-0.547644,0.434692,eIoni
e-,0.00349629,-0.0445218,0.0212615,-92.9013,-0.0433387,-0.0413181,-8.47392e-06,eIoni
