# mesh name: boxMesh_1
# primitive scorer name: dDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,3.421474204748313e-08,2.413821519342885e-16,5
0,0,1,3.291028356096616e-08,2.238289357372844e-16,5
0,0,2,1.944820023483591e-07,2.729561348160202e-14,5
0,0,3,1.943876959068018e-08,1.091831419107787e-16,4
0,0,4,1.880673299997852e-07,2.705196875015698e-14,4
0,0,5,3.158927018606957e-07,4.623342251921517e-14,3
0,0,6,9.261930220125985e-08,8.578335140248298e-15,1
0,0,7,4.059484404451249e-08,1.647941362998291e-15,1
0,0,8,9.22581988276485e-09,8.511575250921925e-17,1
0,0,9,0,0,0
0,0,10,0,0,0
0,0,11,0,0,0
0,0,12,0,0,0
0,0,13,0,0,0
0,0,14,0,0,0
0,0,15,0,0,0
0,0,16,0,0,0
0,0,17,0,0,0
0,0,18,0,0,0
0,0,19,0,0,0
0,0,20,0,0,0
0,0,21,0,0,0
0,0,22,0,0,0
0,0,23,0,0,0
0,0,24,0,0,0
0,0,25,0,0,0
0,0,26,0,0,0
0,0,27,0,0,0
0,0,28,0,0,0
0,0,29,0,0,0
0,0,30,0,0,0
0,0,31,0,0,0
0,0,32,0,0,0
0,0,33,0,0,0
0,0,34,0,0,0
0,0,35,0,0,0
0,0,36,0,0,0
0,0,37,0,0,0
0,0,38,0,0,0
0,0,39,0,0,0
0,0,40,0,0,0
0,0,41,0,0,0
0,0,42,0,0,0
0,0,43,0,0,0
0,0,44,0,0,0
0,0,45,0,0,0
0,0,46,0,0,0
0,0,47,0,0,0
0,0,48,0,0,0
0,0,49,0,0,0
0,0,50,0,0,0
